product_key,product_name,category,subcategory,total_orders,total_revenue,total_quantity,total_customers,lifespan,product_segment,recency,avg_order_revenue,avg_monthly_revenue
122,"Mountain-200 Black- 46",Bikes,"Mountain Bikes",620,1373454,620,600,23,"High Performer",149,2215.25,59715.39
121,"Mountain-200 Black- 42",Bikes,"Mountain Bikes",614,1363128,614,604,23,"High Performer",149,2220.08,59266.43
123,"Mountain-200 Silver- 38",Bikes,"Mountain Bikes",596,1339394,596,583,23,"High Performer",149,2247.31,58234.52
125,"Mountain-200 Silver- 46",Bikes,"Mountain Bikes",580,1301029,580,567,23,"High Performer",149,2243.15,56566.48
120,"Mountain-200 Black- 38",Bikes,"Mountain Bikes",582,1294854,582,565,23,"High Performer",149,2224.84,56298.00
124,"Mountain-200 Silver- 42",Bikes,"Mountain Bikes",560,1257368,560,547,23,"High Performer",149,2245.30,54668.17
17,"Road-150 Red- 48",Bikes,"Road Bikes",337,1205786,337,337,11,"High Performer",173,3578.00,109616.91
20,"Road-150 Red- 62",Bikes,"Road Bikes",336,1202208,336,336,11,"High Performer",173,3578.00,109291.64
18,"Road-150 Red- 52",Bikes,"Road Bikes",302,1080556,302,302,11,"High Performer",173,3578.00,98232.36
19,"Road-150 Red- 56",Bikes,"Road Bikes",295,1055510,295,295,11,"High Performer",173,3578.00,95955.45
16,"Road-150 Red- 44",Bikes,"Road Bikes",281,1005418,281,281,11,"High Performer",173,3578.00,91401.64
141,"Road-250 Black- 52",Bikes,"Road Bikes",319,734425,319,312,23,"Mid Performer",149,2302.27,31931.52
143,"Road-250 Red- 58",Bikes,"Road Bikes",306,702666,306,301,23,"Mid Performer",149,2296.29,30550.70
140,"Road-250 Black- 48",Bikes,"Road Bikes",298,691213,298,289,23,"Mid Performer",149,2319.51,30052.74
139,"Road-250 Black- 44",Bikes,"Road Bikes",271,628384,271,266,23,"Mid Performer",149,2318.76,27321.04
142,"Road-250 Black- 58",Bikes,"Road Bikes",270,622026,270,265,23,"Mid Performer",149,2303.80,27044.61
158,"Touring-1000 Blue- 46",Bikes,"Touring Bikes",177,421968,177,177,11,"Mid Performer",149,2384.00,38360.73
135,"Road-350-W Yellow- 40",Bikes,"Road Bikes",246,418446,246,246,11,"Mid Performer",149,1701.00,38040.55
162,"Touring-1000 Yellow- 46",Bikes,"Touring Bikes",172,410048,172,170,11,"Mid Performer",149,2384.00,37277.09
136,"Road-350-W Yellow- 42",Bikes,"Road Bikes",235,399735,235,235,11,"Mid Performer",149,1701.00,36339.55
49,"Road-250 Red- 48",Bikes,"Road Bikes",162,395766,162,162,11,"Mid Performer",161,2443.00,35978.73
138,"Road-350-W Yellow- 48",Bikes,"Road Bikes",232,394632,232,232,11,"Mid Performer",149,1701.00,35875.64
